"id","pokemon_id","habitat_id","level"
496,84,20,1
497,85,20,2
498,115,20,1
500,143,20,2
502,446,20,1
503,287,22,1
504,288,22,2
505,289,22,3
506,127,22,1
508,123,3,1
509,212,3,2
511,900,3,2
512,313,3,2
513,314,3,2
514,290,3,1
515,291,3,2
516,292,3,2
517,165,3,1
518,166,3,2
519,193,3,1
520,469,3,2
521,595,3,1
522,596,3,2
523,767,3,1
524,768,3,2
526,588,3,1
527,589,3,2
528,616,3,1
529,617,3,2
530,412,3,1
531,413,3,2
534,414,3,2
535,415,3,1
536,416,3,2
537,736,3,1
538,737,3,2
539,738,3,3
541,824,3,1
542,825,3,2
543,826,3,3
545,636,3,1
546,637,3,2
547,315,3,2
548,406,3,1
549,407,3,3
550,226,16,2
551,458,16,1
552,129,15,1
553,130,15,2
555,318,15,1
556,319,15,2
558,72,15,1
559,73,15,2
560,564,15,1
561,565,15,2
